startid,endid
Bioswale-1,Bio
Phase 1,Ph1
Upland-1,Up1
Upland-2,Up2
VP-03,VP03
VP-04,Wet2
VP-06,VP06
VP-07,Wet1
VP-08,VP08
VP-09,VP09
VP-14,VP14
VP-16,VP16
VP-19,Wet5
Wetland-3,Wet3
Wetland-4,Wet4
Wetland-5,Wet5
Wetland-1,Wet1
Wetland-2,Wet2
